source_city,dest_city,num_airlines
Antananarivo,Dzaoudzi,1
Antananarivo,Mahajanga,1
Antananarivo,Maroantsetra,1
Antananarivo,Marseille,1
Antananarivo,Morondava,1
Antananarivo,Moroni,1
Antananarivo,Nairobi,1
Antananarivo,Nosy-be,1
Antananarivo,Sainte Marie,1
Antananarivo,Sambava,1
Antananarivo,Toamasina,1
Antananarivo,Tolagnaro,1
Antananarivo,Toliara,1
Antigua,Castries,1
Antigua,Charlestown,1
Antigua,Dominica,1
Antigua,Frankfurt,1
Antigua,Hewandorra,1
Antigua,Kingston,1
Antigua,Newark,1
Antigua,Philipsburg,1
Antigua,San Juan,1
Antigua,Santo Domingo,1
Antigua,The Valley,1
Antofagasta,Lima,1
Antsiranana,Antananarivo,1
Antsiranana,Dzaoudzi,1
Antsiranana,Nosy-be,1
Antsiranana,Sambava,1
Antsiranana,St.-denis,1
Anvik,Holy Cross,1
Aomori,Nagoya,1
Aomori,Osaka,1
Aomori,Sapporo,1
Aomori,Seoul,1
Aomori,Tokyo,1
Apatity,Moscow,1
Appleton,Chicago,1
Appleton,Detroit,1
Appleton,Las Vegas,1
Appleton,Mesa,1
Appleton,Minneapolis,1
Appleton,Sanford,1
Aqaba,Amman,1
Aqaba,Istanbul,1
Aracaju,Brasilia,1
Aracaju,Campinas,1
Aracaju,Maceio,1
Aracatuba,Campinas,1
Aracatuba,Sao Paulo,1
Arad,Bergamo,1
Araguaina,Brasilia,1
Araguaina,Maraba,1
Arar,Jeddah,1
Arar,Riyadh,1
Araracuara,Campinas,1
Araracuara,San Vincente De Caguan,1
Araxa,Patos de Minas,1
Arba Minch,Addis Ababa,1
Arcata CA,Crescent City,1
Arcata CA,Sacramento,1
Arcata CA,San Francisco,1
Arctic Bay,Iqaluit,1
Arctic Bay,Resolute,1
Arctic Village,Venetie,1
Ardabil,Mashhad,1
Arequipa,Cuzco,1
Arequipa,La Paz,1
Arequipa,Tacna,1
Argyle,Adelaide,1
Arica,Antofagasta,1
Arica,La Paz,1
Arica,Santiago,1
Arkhangelsk,Murmansk,1
Arkhangelsk,Solovetsky Islands,1
Arkhangelsk,Usinsk,1
Armenia,Bogota,1
Armenia,Fort Lauderdale,1
Arrecife,Amsterdam,1
Arrecife,Aviles,1
Arrecife,Beauvais,1
Arrecife,Bergamo,1
Arrecife,Blackpool,1
Arrecife,Bologna,1
Arrecife,Bournemouth,1
Arrecife,Bremen,1
Arrecife,Charleroi,1
Arrecife,Cologne,1
Arrecife,Connaught,1
Arrecife,Edinburgh,1
Arrecife,Eindhoven,1
Arrecife,Hahn,1
Arrecife,Karlsruhe/Baden-Baden,1
Arrecife,Luxemburg,1
Arrecife,Paderborn,1
Arrecife,Prestwick,1
Arrecife,Santander,1
Arrecife,Sevilla,1
Arrecife,Shannon,1
Arrecife,Tenerife,1
Arrecife,Weeze,1
Arrecife,Zaragoza,1
Arua,Entebbe,1
Arusha,Zanzibar,1
Arutua,Kaukura Atoll,1
Arxan,Hohhot,1
Asahikawa,Nagoya,1
Asheville,Chicago,1
Asheville,Detroit,1
Asheville,Fort Lauderdale,1
Asheville,Punta Gorda,1
Asheville,Sanford,1
Asheville,St. Petersburg,1
Ashkhabad,Amritsar,1
Ashkhabad,Birmingham,1
Ashkhabad,Delhi,1
Ashkhabad,Frankfurt,1
Ashkhabad,London,1
Ashkhabad,Minsk 2,1
Ashkhabad,Urumqi,1
Asmara,Aden,1
Asmara,Cairo,1
Asmara,Jeddah,1
Asmara,Juba,1
Asmara,Khartoum,1
Asmara,Nairobi,1
Asmara,Sanaa,1
Asosa,Addis Ababa,1
Aspen,Denver,1
Aspen,Los Angeles,1
Astrakhan,Aktau,1
Astrakhan,Istanbul,1
Astrakhan,Kazan,1
Astrakhan,Mineralnye Vody,1
Astrakhan,St. Petersburg,1
Asuncion,Lima,1
Asuncion,Montevideo,1
Asuncion,Panama City,1
Aswan,Abu Simbel,1
Aswan,Jeddah,1
Asyut,Jeddah,1
Asyut,Kuwait,1
Asyut,Riyadh,1
Asyut,Sharjah,1
Ataq,Sanaa,1
Athens,Amman,1
Athens,Beirut,1
Athens,Bergamo,1
Athens,Budapest,1
Athens,Chisinau,1
Athens,Cologne,1
Athens,Dubai,1
Athens,Dublin,1
Athens,Dubrovnik,1
Athens,Edinburgh,1
Athens,Eindhoven,1
