icao,count
BEK,1
BET,1
BFC,1
BFG,1
BFL,1
BFO,1
BFR,1
BFS,1
BFW,1
BGH,1
BGI,1
BGK,1
BGL,1
BGM,1
BGR,1
BGT,1
BHA,1
BHI,1
BHL,1
BHN,1
BHO,1
BHP,1
BHR,1
BHS,1
BHT,1
BHY,1
BID,1
BIG,1
BIH,1
BIL,1
BIN,1
BIR,1
BIZ,1
BJA,1
BJC,1
BJS,1
BKA,1
BKF,1
BKJ,1
BKP,1
BKV,1
BLB,1
BLC,1
BLE,1
BLF,1
BLG,1
BLH,1
BLJ,1
BLL,1
BLM,1
BLN,1
BLS,1
BLT,1
BLV,1
BMA,1
BMD,1
BME,1
BMH,1
BMI,1
BMJ,1
BML,1
BMN,1
BMR,1
BMW,1
BMX,1
BND,1
BNE,1
BNG,1
BNL,1
BNR,1
BNS,1
BNT,1
BNV,1
BNW,1
BOA,1
BOD,1
BOE,1
BOF,1
BOO,1
BOU,1
BPA,1
BPK,1
BPO,1
BPS,1
BPT,1
BPX,1
BRB,1
BRD,1
BRE,1
BRG,1
BRK,1
BRN,1
BRO,1
BRS,1
BRT,1
BRU,1
BRV,1
BRW,1
BNF,1
BRX,1
BRY,1
BSC,1
BSD,1
BSI,1
BSJ,1
BSM,1
BSS,1
BST,1
BSW,1
BSY,1
BTC,1
BTH,1
BTK,1
BTL,1
BTR,1
GAA,1
BTT,1
BTV,1
BUC,1
BUL,1
BUN,1
BVA,1
BVC,1
BVN,1
BVT,1
BVU,1
BWG,1
BWI,1
BWL,1
BXA,1
BXH,1
BXI,1
BXR,1
BYA,1
BYL,1
BYR,1
BYE,1
BZA,1
BZH,1
BZZ,1
AUJ,1
CKM,1
CLF,1
CLN,1
CPJ,1
CXS,1
DAT,1
EAH,1
EBA,1
EXB,1
EXP,1
HAW,1
HAX,1
IBB,1
IRJ,1
IVR,1
JOR,1
LAJ,1
LBY,1
LED,1
LTL,1
LXJ,1
LZB,1
MBR,1
NKF,1
NYB,1
OGJ,1
PEB,1
PNT,1
POI,1
PPS,1
RHD,1
RLR,1
RPX,1
RRS,1
SCJ,1
SHT,1
SKH,1
TXB,1
UKA,1
VLX,1
VOL,1
WFD,1
WTN,1
XBO,1
XDA,1
XMS,1
ZBA,1
SRJ,1
ORO,1
TIP,1
RWG,1
RMU,1
CBI,1
CPI,1
ICL,1
CMR,1
CTZ,1
CCF,1
CED,1
HBI,1
HEM,1
SCH,1
HKS,1
VCI,1
CKC,1
CMZ,1
CNT,1
OAP,1
PDR,1
CRH,1
IRO,1
CSE,1
CTQ,1
CBR,1
CVE,1
CWD,1
CCE,1
CGC,1
REZ,1
CSL,1
CLI,1
CAV,1
CAM,1
KHM,1
UYC,1
HSO,1
CJA,1
PIL,1
CTG,1
HIA,1
CFC,1
BZD,1
TKR,1
XNC,1
MPE,1
CDR,1
CWH,1
CWA,1
CWW,1
CUI,1
KAP,1
CTO,1
SEM,1
CMY,1
CPX,1
CPD,1
NCP,1
CCI,1
CCQ,1
EGL,1
CEX,1
CWZ,1
VAN,1
CWN,1
FVA,1
GOL,1
CDI,1
CFH,1
CDM,1
EST,1
GGC,1
MCX,1
CRV,1
CLM,1
CTW,1
CRG,1
CJT,1
CLX,1
CGM,1
DEL,1
BCB,1
CBC,1
DCC,1
CLT,1
BWA,1
IQQ,1
TLC,1
GFI,1
CRT,1
CVG,1
KRP,1
CRR,1
ULS,1
CMT,1
CSO,1
CSP,1
CPN,1
CSJ,1
CAZ,1
CBT,1
TEX,1
CPA,1
CJR,1
CAY,1
CEB,1
CIL,1
CEG,1
CEC,1
CWE,1
CNA,1
CEV,1
CNL,1
CNS,1
CVO,1
CTS,1
CET,1
CAX,1
CTL,1
CNY,1
ACN,1
YOG,1
CCG,1
DRN,1
CMA,1
CHA,1
CEM,1
GLR,1
CQC,1
CSI,1
CLW,1
DTV,1
CGS,1
CVC,1
CCV,1
ACF,1
CWC,1
URY,1
HAI,1
XAD,1
CER,1
IRU,1
CLG,1
CHK,1
CLS,1
CHS,1
OFF,1
CHG,1
CPH,1
CCP,1
NCH,1
CGN,1
CHN,1
WML,1
CPL,1
CSU,1
CAH,1
HMD,1
CGD,1
CHW,1
HRT,1
CHQ,1
CBB,1
CHM,1
CHZ,1
CMK,1
CBM,1
CCY,1
CAB,1
CVR,1
CYA,1
CGO,1
RAT,1
CCH,1
DES,1
CAD,1
ETN,1
CAL,1
CKK,1
CES,1
HXA,1
CFA,1
CTH,1
CAG,1
CBF,1
CNW,1
CHC,1
CYZ,1
CSN,1
CXN,1
CUA,1
CXH,1
CYH,1
CGU,1
CEP,1
CPW,1
CHF,1
CAS,1
OEC,1
CHO,1
CHU,1
CIU,1
CIM,1
RRU,1
NTS,1
RUS,1
JTI,1
FIV,1
XCX,1
HZX,1
SDR,1
CIX,1
XBG,1
BCY,1
CAQ,1
CII,1
CFE,1
CNB,1
HSR,1
CIW,1
BKR,1
CIA,1
CIV,1
CBA,1
FMC,1
CLK,1
CSF,1
CLY,1
CGK,1
CLZ,1
CLD,1
SDJ,1
ISG,1
CST,1
TCL,1
CNG,1
CSV,1
CHL,1
OLR,1
CLE,1
CJC,1
CAE,1
CCX,1
COL,1
WCO,1
KLR,1
GHP,1
COM,1
CAW,1
CDE,1
CVV,1
CRS,1
CMG,1
FYN,1
CLA,1
CMH,1
CTM,1
CML,1
CRM,1
CMS,1
GAR,1
CJS,1
UCA,1
CWK,1
CGR,1
CMM,1
CPM,1
GIC,1
AIF,1
ATF,1
ASU,1
LCT,1
EJV,1
HSE,1
MDR,1
MXC,1
HSS,1
TAV,1
CYF,1
CPZ,1
CPS,1
XCO,1
XCS,1
CRC,1
COD,1
CNR,1
CIB,1
CFG,1
COF,1
CAK,1
CGA,1
ROY,1
BSN,1
CAC,1
CXO,1
CHP,1
VCH,1
UZA,1
